index	Prevotellaceae	Acholeplasmataceae	Erysipelatoclostridiaceae	Lachnospiraceae	Rikenellaceae	Muribaculaceae	Atopobiaceae	Ruminococcaceae	Eggerthellaceae	Oscillospiraceae	Others
A001	34.38192771	11.77108434	7.322891566	12.03373494	2.313253012	2.497590361	1.591566265	2.362650602	2.5	1.591566265	21.63373494
A002	38.13855422	20.3313253	12.31445783	8.887951807	3.15060241	4.092771084	0.793975904	1.16746988	1.322891566	0.697590361	9.102409639
A003	32.55180723	23.15903614	11.26506024	8.943373494	2.857831325	2.995180723	0.787951807	1.075903614	1.238554217	0.889156627	14.23614458
A004	33.6	11.00240964	9.260240964	11.40722892	2.522891566	4.710843373	0.739759036	1.745783133	2.706024096	1.593975904	20.71084337
A005	23.81084337	31.63253012	6.140963855	11.88795181	0.908433735	4.719277108	2.710843373	1.727710843	1.1	1.119277108	14.24216867
A006	31.12048193	22.05662651	8.401204819	10.42409639	2.413253012	2.343373494	2.498795181	1.792771084	1.771084337	1.292771084	15.88554217
A007	24.99156627	36.96385542	15.08192771	5.277108434	1.908433735	3.026506024	0.872289157	0.726506024	1.371084337	0.693975904	9.086746988
A008	34.03614458	31.55783133	13.15180723	4.885542169	2.101204819	3.301204819	0.769879518	0.728915663	1.681927711	0.639759036	7.145783133
A009	20.87228916	24.65542169	10.5253012	11.37590361	0.943373494	1.26626506	2.642168675	1.673493976	1.651807229	2.491566265	21.90240964
A010	23.1686747	17.05301205	8.224096386	16.1253012	0.591566265	2.098795181	5.279518072	2.562650602	1.61686747	2.081927711	21.19759036
A011	36.05301205	19.65542169	5.965060241	14.81204819	1.103614458	1.204819277	0.534939759	1.780722892	4.818072289	1.551807229	12.52048193
A012	46.21807229	16.71204819	11.67590361	4.771084337	2.954216867	3.208433735	0.451807229	0.93373494	2.134939759	0.819277108	10.12048193
A013	21.93253012	15.98554217	9.309638554	20.94819277	0.402409639	4.093975904	1.73253012	2.248192771	2.742168675	2.278313253	18.32650602
A014	26.76506024	21.70240964	8.161445783	10.95783133	1.684337349	6.953012048	1.784337349	1.58313253	1.940963855	1.265060241	17.20240964
A015	42.16987952	13.44096386	13.28554217	9.114457831	6.589156627	5.148192771	1.038554217	1.253012048	0.886746988	0.63253012	6.440963855
A016	38.17108434	21.26144578	15.51566265	5.46746988	3.83373494	4.621686747	0.620481928	0.869879518	1.362650602	0.577108434	7.698795181
A017	43.64939759	11.16626506	10.55180723	9.081927711	2.05060241	5.527710843	1.477108434	0.989156627	2.340963855	0.893975904	12.27108434
A018	34.24216867	20.38795181	11.39518072	9.745783133	5.587951807	2.759036145	1.409638554	1.219277108	1.169879518	0.842168675	11.24096386
A019	34.1	22.02771084	9.897590361	9.537349398	2.412048193	3.863855422	2.137349398	1.453012048	1.443373494	1.234939759	11.89277108
A020	31.84939759	6.06746988	8.474698795	13.11445783	3.012048193	8.861445783	2.226506024	2.575903614	2.46626506	1.56746988	19.78433735
A021	52.31204819	4.151807229	3.68313253	13.70722892	4.861445783	3.385542169	1.590361446	2.119277108	2.840963855	1.014457831	10.33373494
A022	52.37108434	8.110843373	7.293975904	9.540963855	3.107228916	6.436144578	1.595180723	1.180722892	1.224096386	0.657831325	8.481927711
A023	44.76746988	12.51445783	5.178313253	13.22048193	3.459036145	2.963855422	0.739759036	2.187951807	1.712048193	1.18313253	12.07349398
