index	Actinobacteriota	Bacteroidota	Firmicutes	Proteobacteria	Others
A001	5.538554217	40.38433735	49.22771084	1.986746988	2.862650602
A002	2.428915663	45.84337349	50.26626506	0.845783133	0.615662651
A003	2.371084337	38.84216867	57.13855422	0.946987952	0.701204819
A004	4.018072289	41.86987952	49.14096386	1.768674699	3.202409639
A005	4.880722892	30.11084337	61.16626506	2.457831325	1.384337349
A006	5.408433735	36.48795181	53.86024096	2.546987952	1.696385542
A007	2.692771084	30.20120482	65.05783133	1.474698795	0.573493976
A008	2.746987952	39.65903614	56.22409639	0.908433735	0.461445783
A009	5.618072289	23.85783133	62.75301205	3.868674699	3.902409639
A010	8.881927711	26.68192771	58.00240964	2.728915663	3.704819277
A011	5.820481928	39.2939759	51.2	1.36626506	2.319277108
A012	2.831325301	52.93855422	42.83614458	0.83373494	0.560240964
A013	5.657831325	28.84819277	60.28674699	1.789156627	3.418072289
A014	4.46746988	36.50722892	54.8253012	2.268674699	1.931325301
A015	2.426506024	54.3	42.08554217	0.659036145	0.528915663
A016	2.55060241	47.38554217	48.82771084	0.760240964	0.475903614
A017	4.465060241	51.75421687	41.40722892	1.651807229	0.721686747
A018	3.257831325	43.28072289	51.42289157	1.039759036	0.998795181
A019	4.668674699	41.26746988	51.3939759	1.354216867	1.315662651
A020	5.930120482	45.44457831	42.91084337	2.721686747	2.992771084
A021	5.427710843	61.34216867	30.59156627	1.556626506	1.081927711
A022	3.645783133	62.2686747	32.12771084	1.346987952	0.610843373
A023	3.451807229	51.74216867	41.66746988	1.422891566	1.715662651
A024	4.248192771	52.84819277	40.63012048	1.571084337	0.702409639
A025	5.398795181	36.0746988	56.30481928	1.257831325	0.963855422
A026	5.963855422	28.2746988	57.10481928	1.636144578	7.020481928
A027	3.890361446	39.31807229	53.86746988	1.325301205	1.598795181
A028	4.756626506	37.03253012	53.60843373	1.93253012	2.669879518
A029	11.31325301	39.84578313	46.76746988	1.137349398	0.936144578
A030	8.391566265	44.62289157	44.95180723	1.219277108	0.814457831
A034	9.43253012	33.20120482	50.21084337	3.686746988	3.468674699
A035	9.486746988	34.45542169	50.19879518	4.420481928	1.438554217
A036	2.328915663	31.78554217	63.69879518	0.909638554	1.277108434
A037	8.160240964	32.67590361	57.32771084	1.021686747	0.814457831
A038	4.43253012	32.81927711	58.16506024	1.437349398	3.145783133
A039	8.895180723	22.58795181	58.99036145	2.83253012	6.693975904
A040	8.471084337	30.25301205	54.22771084	3.465060241	3.58313253
A041	7.278313253	26.94096386	57.05783133	3.08313253	5.639759036
A042	8.192771084	31.73012048	55.48313253	3.306024096	1.287951807
A043	5.921686747	36.44819277	52.3313253	2.539759036	2.759036145
A044	2.78313253	32.9060241	61.95421687	1.107228916	1.24939759
A045	2.262650602	37.20361446	57.67108434	1.302409639	1.560240964
A046	12.01084337	29.50722892	51.80361446	4.315662651	2.362650602
A048	4.930120482	23.55421687	67.78313253	1.848192771	1.884337349
A049	5.184337349	26.09036145	57.6373494	1.889156627	9.198795181
A050	5.648192771	35.7	53.32168675	2.304819277	3.025301205
A051	4.448192771	14.28433735	76.52289157	1.745783133	2.998795181
A052	6.754216867	14.38554217	72.31445783	2.693975904	3.851807229
A053	5.291566265	24.85783133	61.41325301	3.178313253	5.259036145
A054	7.873493976	32.0253012	53.39036145	5.140963855	1.569879518
A055	3.820481928	23.42168675	70.46987952	1.061445783	1.226506024
A056	6.004819277	19.0253012	69.83493976	2.508433735	2.626506024
A057	2.76626506	18.80843373	76.29156627	0.985542169	1.148192771
A058	2.408433735	13.46024096	81.6686747	1.310843373	1.151807229
A060	5.815662651	34.04096386	54.99036145	2.704819277	2.448192771
A061	5.077108434	37.45542169	54.67228916	1.690361446	1.104819277
A062	6.23253012	35.33253012	55.1	2.345783133	0.989156627
A063	4.921686747	30.1373494	60.92168675	2.436144578	1.58313253
A064	9.338554217	32.87710843	49.90722892	6.538554217	1.338554217
A065	8.860240964	32.63253012	48.44819277	4.977108434	5.081927711
A066	3.801204819	31.09036145	62.5746988	1.474698795	1.059036145
A067	6.379518072	22.10722892	65.25301205	2.410843373	3.84939759
A068	3.557831325	32.41084337	59.12771084	1.993975904	2.909638554
A069	5.048192771	29.50843373	61.79036145	2.098795181	1.554216867
A070	4.565060241	45.20722892	47.95903614	1.371084337	0.897590361
A071	2.628915663	42.53493976	51.11445783	1.121686747	2.6
A072	4.230120482	33.99036145	54.49759036	5.872289157	1.409638554
A073	2.243373494	38.47590361	57.04337349	1.175903614	1.061445783
A074	2.027710843	48.68554217	46.94337349	1.365060241	0.978313253
A075	3.112048193	27.46385542	65.2313253	2.559036145	1.63373494
A076	3.519277108	48.6313253	44.13493976	1.440963855	2.273493976
A077	4.107228916	51.60361446	40.87951807	2.107228916	1.302409639
A078	2.410843373	41.1	53.35542169	1.993975904	1.139759036
