sample-id	Day	Group	Subject	Age	Sex
A001	17-Dec	A	A2	A	F
A002	17-Dec	A	A4	J	NA
A003	17-Dec	A	A4	J	NA
A004	17-Dec	A	A2	A	F
A005	17-Dec	A	A1	A	M
A006	17-Dec	A	A3	J	F
A007	17-Dec	A	A3	J	F
A008	17-Dec	A	A3	J	F
A009	17-Dec	A	A1	A	M
A010	17-Dec	A	A2	A	F
A011	17-Dec	A	A2	A	F
A012	17-Dec	A	A4	J	NA
A013	17-Dec	A	A2	A	F
A014	17-Dec	A	A1	A	M
A015	17-Dec	A	A4	J	NA
A016	17-Dec	A	A3	J	F
A017	17-Dec	A	A3	J	F
A018	17-Dec	A	A1	A	M
A019	17-Dec	A	A3	J	F
A020	17-Dec	A	A2	A	F
A021	17-Dec	A	A1	A	M
A022	17-Dec	A	A3	J	F
A023	17-Dec	A	A2	A	F
A024	17-Dec	A	A4	J	NA
A025	18-Jan	A	A3	J	F
A026	18-Jan	A	A2	A	F
A027	18-Jan	A	A4	J	NA
A028	18-Jan	A	A2	A	F
A029	18-Jan	A	A3	J	F
A030	18-Jan	A	A1	A	M
A034	18-Jan	A	A3	J	F
A035	18-Jan	A	A1	A	M
A036	18-Jan	A	A3	J	F
A037	18-Jan	A	A4	J	NA
A038	18-Jan	A	A2	A	F
A039	18-Jan	A	A2	A	F
A040	18-Jan	A	A1	A	M
A041	18-Jan	A	A2	A	F
A042	18-Jan	A	A3	J	F
A043	18-Jan	A	A1	A	M
A044	18-Jan	A	A4	J	NA
A045	18-Jan	A	A4	J	NA
A046	18-Feb	A	A3	J	F
A048	18-Feb	A	A4	J	NA
A049	18-Feb	A	A1	A	M
A050	18-Feb	A	A2	A	F
A051	18-Feb	A	A1	A	M
A052	18-Feb	A	A2	A	F
A053	18-Feb	A	A1	A	M
A054	18-Feb	A	A3	J	F
A055	18-Feb	A	A1	A	M
A056	18-Feb	A	A2	A	F
A057	18-Feb	A	A4	J	NA
A058	18-Feb	A	A2	A	F
A060	18-Feb	A	A1	A	M
A061	18-Feb	A	A3	J	F
A062	18-Feb	A	A3	J	F
A063	18-Feb	A	A2	A	F
A064	18-Feb	A	A3	J	F
A065	18-Feb	A	A1	A	M
A066	18-Feb	A	A4	J	NA
A067	18-Feb	A	A2	A	F
A068	18-Feb	A	A1	A	M
A069	18-Feb	A	A2	A	F
A070	18-Feb	A	A3	J	F
A071	18-Feb	A	A4	J	NA
A072	18-Mar	A	A3	J	F
A073	18-Mar	A	A4	J	NA
A074	18-Mar	A	A3	J	F
A075	18-Mar	A	A2	A	F
A076	18-Mar	A	A1	A	M
A077	18-Mar	A	A4	J	NA
A078	18-Mar	A	A4	J	NA
A079	18-Mar	A	A2	A	F
A080	18-Mar	A	A3	J	F
A081	18-Mar	A	A1	A	M
A082	18-Mar	A	A2	A	F
A083	18-Mar	A	A2	A	F
A084	18-Mar	A	A1	A	M
A085	18-Mar	A	A4	J	NA
A086	18-Mar	A	A2	A	F
A087	18-Mar	A	A1	A	M
A088	18-Mar	A	A1	A	M
A089	18-Mar	A	A2	A	F
A090	18-Mar	A	A4	J	NA
A091	18-Mar	A	A4	J	NA
A092	18-Mar	A	A1	A	M
A094	18-Mar	A	A2	A	F
A095	18-Mar	A	A2	A	F
A096	18-Mar	A	A1	A	M
A097	18-Mar	A	A3	J	F
A098	18-Mar	A	A4	J	NA
A099	18-Apr	A	A2	A	F
A100	18-Apr	A	A2	A	F
A101	18-Apr	A	A3	J	F
A102	18-Apr	A	A4	J	NA
A103	18-Apr	A	A2	A	F
A104	18-Apr	A	A3	J	F
A105	18-Apr	A	A1	A	M
A106	18-Apr	A	A1	A	M
A107	18-Apr	A	A4	J	NA
A108	18-Apr	A	A3	J	F
A109	18-Apr	A	A2	A	F
A110	18-Apr	A	A2	A	F
A111	18-Apr	A	A4	J	NA
A112	18-Apr	A	A3	J	F
A113	18-Apr	A	A1	A	M
A114	18-Apr	A	A2	A	F
A115	18-Apr	A	A1	A	M
A116	18-Apr	A	A4	J	NA
A117	18-Apr	A	A2	A	F
A118	18-Apr	A	A3	J	F
A119	18-Apr	A	A1	A	M
A120	18-Apr	A	A3	J	F
A121	18-Apr	A	A2	A	F
A122	18-Apr	A	A1	A	M
A123	18-Apr	A	A4	J	NA
A124	18-Apr	A	A2	A	F
A125	18-Apr	A	A1	A	M
A126	18-Apr	A	A3	J	F
B002	17-Nov	B	B2	A	F
B003	17-Nov	B	B2	A	F
B004	17-Nov	B	B2	A	F
B005	17-Nov	B	B2	A	F
B006	17-Nov	B	B1	A	M
B007	17-Nov	B	B1	A	M
