Sample	Diet_group	Subject	Animal	Flower	Fruit	Leaf	Others
A009	F	A1	0	0	0.908337717	0.091662283	0
A010	F	A2	0	0	0.728626586	0.271373414	0
A012	F	A4	0	0	0.932837802	0.067162198	0
A013	F	A2	0.006158684	0	0.933630348	0.060210968	0
A014	F	A1	0	0	0.94638404	0.05361596	0
A015	F	A4	0	0	0.975075141	0.024924859	0
A016	F	A3	0	0	0.950507614	0.049492386	0
A017	F	A3	0	0	1	0	0
A018	F	A1	0	0	0.816560039	0.183439961	0
A020	F	A2	0	0	0.719683895	0.280316105	0
A021	F	A1	0	0	0.755415664	0.244584336	0
A022	F	A3	0	0	0.754309675	0.245690325	0
A023	F	A2	0	0	0.649116392	0.347105424	0.003778184
A024	F	A4	0	0	0.675725669	0.324274331	0
A027	L	A4	0	0.032299193	0	0.967700807	0
A028	L	A2	0	0	0	1	0
A029	L	A3	0	0.032464146	0.011212516	0.956323338	0
A030	L	A1	0	0.028937518	0	0.971062482	0
A035	L	A1	0	0	0	1	0
A036	L	A3	0	0	0	1	0
A037	L	A4	0	0	0.008265213	0.991734787	0
A038	L	A2	0	0	0	1	0
A039	L	A2	0.019202755	0	0	0.980797245	0
A040	L	A1	0	0	0.049634634	0.950365366	0
A042	L	A3	0	0	0.025220681	0.974779319	0
A043	L	A1	0	0	0.034478451	0.788132417	0.177389132
A044	L	A4	0	0	0.069925398	0.839327469	0.090747133
A052	L	A2	0	0	0.047633777	0.89669038	0.055675843
A053	L	A1	0.010776156	0	0.055654072	0.933569772	0
A054	L	A3	0.024586113	0	0	0.908697801	0.066716086
A057	L	A4	0.019678665	0	0.0292689	0.883796239	0.067256196
A058	L	A2	0	0.047024952	0.031806965	0.921168083	0
A060	L	A1	0	0	0	1	0
A061	L	A3	0	0	0	1	0
A063	L	A2	0	0.063210849	0	0.936789151	0
A064	L	A3	0.00942285	0	0	0.99057715	0
A065	L	A1	0	0	0	1	0
A066	L	A4	0	0.19791507	0.033113598	0.768971332	0
A067	L	A2	0	0.124213012	0	0.875786988	0
A068	L	A1	0	0.15	0	0.85	0
A069	L	A2	0	0	0	0.92097134	0.07902866
A070	L	A3	0	0	0.04541375	0.921019566	0.033566685
A071	L	A4	0	0	0	0.920961861	0.079038139
A078	L	A4	0.024966063	0.096913179	0.408841409	0.469279348	0
A079	L	A2	0	0.021539471	0.287830746	0.690629784	0
A080	L	A3	0	0.12737976	0.383078657	0.489541583	0
A083	F	A2	0	0.010704616	0.661356338	0.327939047	0
A084	L	A1	0	0.022328303	0.524946104	0.452725593	0
A088	L	A1	0.011540941	0.10270793	0.40967118	0.476079948	0
A089	L	A2	0	0.10247214	0.497630332	0.399897528	0
A090	F	A4	0	0.114933894	0.606745793	0.278320312	0
A091	L	A4	0	0.095978062	0.37324802	0.530773918	0
A092	L	A1	0	0.106510417	0.415711806	0.477777778	0
