sample	DAY	GROUP	SUBJECT	AGE	animal	flower	fruit	leaf	others	day	leaf_proportion
B005	17-Nov	BC	B2	A	0	0	0.66164838	0.33835162	0	2017.11.20	F
B010	17-Nov	BC	B2	A	0.005847241	0	0.742234133	0.251918626	0	2017.11.22	F
B012	17-Nov	BC	B2	A	0	0	0.867742472	0.132257528	0	2017.11.23	F
B023	17-Dec	BC	B2	A	0.234079602	0	0.323631841	0.401492537	0.04079602	2017.12.22	L
B026	17-Dec	BC	B2	A	0.072934756	0	0.651451253	0.266931283	0.008682709	2017.12.23	F
B030	18-Jan	BC	B2	A	0.071755118	0	0.214669052	0.71357583	0	2018.1.4	L
B035	18-Jan	BC	B2	A	0.037575425	0	0.028387274	0.934037301	0	2018.1.5	L
B039	18-Jan	BC	B2	A	0.023624705	0	0.047755653	0.838508269	0.090111374	2018.1.6	L
B042	18-Jan	BC	B2	A	0.02747699	0	0	0.89063346	0.081889551	2018.1.7	L
B047	18-Jan	BC	B2	A	0	0	0.420951466	0.531355118	0.047693417	2018.1.8	L
B050	18-Feb	BC	B2	A	0	0	0	0.931791222	0.068208778	2018.2.23	L
B053	18-Feb	BC	B2	A	0	0.101794215	0	0.882582693	0.015623093	2018.2.24	L
B056	18-Feb	BC	B2	A	0.016920474	0.096277496	0.046023689	0.840778342	0	2018.2.25	L
B058	18-Feb	BC	B2	A	0	0	0.05519351	0.94480649	0	2018.2.26	L
B063	18-Feb	BC	B2	A	0.007195663	0.152981764	0.064859537	0.74696895	0.027994086	2018.2.27	L
B071	18-Mar	BC	B2	A	0	0.198899498	0.186761612	0.61433889	0	2018.3.26	L
B078	18-Mar	BC	B2	A	0.233866804	0.068921012	0.065952504	0.57188952	0.05937016	2018.3.28	L
B084	18-Mar	BC	B2	A	0	0.288506013	0.069495837	0.618871415	0.023126735	2018.3.29	L
B092	18-Apr	BC	B2	A	0.028333577	0.430845626	0.137578502	0.403242296	0	2018.4.14	L
B098	18-Apr	BC	B2	A	0	0.226292366	0.312107726	0.461599909	0	2018.4.16	L
B100	18-Apr	BC	B2	A	0	0.176094442	0.605017216	0.218888342	0	2018.4.17	F
C005	18-May	BC	B2	A	0.033855332	0.217897092	0.217897092	0.530350485	0	2018.5.4	L
C010	18-May	BC	B2	A	0	0.630557722	0.216458658	0.152983619	0	2018.5.6	L
C012	18-May	BC	B2	A	0	0.376188756	0.379559408	0.244251836	0	2018.5.7	L
C021	18-Jun	BC	B2	A	0	0	0.550023935	0.449976065	0	2018.6.8	L
C027	18-Jun	BC	B2	A	0	0	0.733148661	0.266851339	0	2018.6.10	F
C033	18-Jun	BC	B2	A	0	0	0.842323059	0.157676941	0	2018.6.12	F
C045	18-Jul	BC	B2	A	0	0	0.252155878	0.747844122	0	2018.7.9	L
C051	18-Jul	BC	B2	A	0.027378098	0.027977618	0.31205036	0.626698641	0.005895284	2018.7.27	L
C056	18-Aug	BC	B2	A	0	0.0674946	0.796436285	0.136069114	0	2018.8.14	F
C061	18-Aug	BC	B2	A	0	0	0.945366248	0.054633752	0	2018.8.15	F
C065	18-Aug	BC	B2	A	0	0.03255814	0.96744186	0	0	2018.8.16	F
C068	18-Aug	BC	B2	A	0	0.190180236	0.670292107	0.139527657	0	2018.8.18	F
G009	17-Oct	BC	B2	A	0.197815534	0	0.802184466	0	0	2017.10.26	F
G027	17-Oct	BC	B2	A	0.18017256	0	0.81982744	0	0	2017.10.28	F
X007	18-Sep	BC	B2	A	0	0	0.940790672	0.059209328	0	2018.9.16	F
X011	18-Sep	BC	B2	A	0.16663608	0	0.81354377	0.01982015	0	2018.9.17	F
X014	18-Sep	BC	B2	A	0.170149774	0.022988506	0.762974573	0.043887147	0	2018.9.18	F
X018	18-Sep	BC	B2	A	0.108852584	0.037993921	0.853153495	0	0	2018.9.19	F
X024	18-Oct	BC	B2	A	0.227802226	0	0.772197774	0	0	2018.10.26	F
X027	18-Oct	BC	B2	A	0.113539898	0	0.740449915	0.146010187	0	2018.10.27	F
X031	18-Oct	BC	B2	A	0.022309711	0.007874016	0.874278215	0.095538058	0	2018.10.28	F
X034	18-Oct	BC	B2	A	0.091430914	0	0.801660517	0.106908569	0	2018.10.29	F
X039	18-Oct	BC	B2	A	0.023058252	0	0.963592233	0.013349515	0	2018.10.31	F
X044	18-Nov	BC	B2	A	0	0	0.619782733	0.380217267	0	2018.11.23	F
X047	18-Nov	BC	B2	A	0	0	0.667132867	0.332867133	0	2018.11.24	F
X049	18-Nov	BC	B2	A	0	0	0.783597725	0.216402275	0	2018.11.25	F
X051	18-Nov	BC	B2	A	0	0	0.628932639	0.371067361	0	2018.11.26	F
X052	18-Nov	BC	B2	A	0	0	0.779319042	0.220680958	0	2018.11.27	F
X055	18-Dec	BC	B2	A	0	0	0.539705882	0.460294118	0	2018.12.11	L
X057	18-Dec	BC	B2	A	0	0	1	0	0	2018.12.13	F
X059	18-Dec	BC	B2	A	0	0	0.423007246	0.576992754	0	2018.12.14	L
X065	18-Dec	BC	B2	A	0	0	0.526089703	0.473910297	0	2018.12.17	L
X069	18-Dec	BC	B2	A	0	0	0.238775065	0.739973845	0.02125109	2018.12.18	L
