sample	DAY	GROUP	SUBJECT	AGE	animal	flower	fruit	leaf	others	day	leaf_proportion
A010	17-Dec	NK	A2	A	0	0	0.728626586	0.271373414	0	2017.12.12	F
A013	17-Dec	NK	A2	A	0.006158684	0	0.933630348	0.060210968	0	2017.12.13	F
A020	17-Dec	NK	A2	A	0	0	0.719683895	0.280316105	0	2017.12.14	F
A023	17-Dec	NK	A2	A	0	0	0.649116392	0.347105424	0.003778184	2017.12.15	F
A028	18-Jan	NK	A2	A	0	0	0	1	0	2018.1.20	L
A038	18-Jan	NK	A2	A	0	0	0	1	0	2018.1.23	L
A052	18-Feb	NK	A2	A	0	0	0.047633777	0.89669038	0.055675843	2018.2.2	L
A058	18-Feb	NK	A2	A	0	0.047024952	0.031806965	0.921168083	0	2018.2.3	L
A063	18-Feb	NK	A2	A	0	0.063210849	0	0.936789151	0	2018.2.4	L
A067	18-Feb	NK	A2	A	0	0.124213012	0	0.875786988	0	2018.2.5	L
A069	18-Feb	NK	A2	A	0	0	0	0.92097134	0.07902866	2018.2.6	L
A079	18-Mar	NK	A2	A	0	0.021539471	0.287830746	0.690629784	0	2018.3.6	L
A083	18-Mar	NK	A2	A	0	0.010704616	0.661356338	0.327939047	0	2018.3.7	F
A089	18-Mar	NK	A2	A	0	0.10247214	0.497630332	0.399897528	0	2018.3.8	L
A094	18-Mar	NK	A2	A	0	0.146345434	0.249470942	0.604183624	0	2018.3.9	L
A103	18-Apr	NK	A2	A	0	0.037875358	0.64546552	0.316659122	0	2018.4.3	F
A110	18-Apr	NK	A2	A	0	0	0.764324135	0.235675865	0	2018.4.4	F
A114	18-Apr	NK	A2	A	0.003342099	0	0.760793338	0.235864563	0	2018.4.5	F
A124	18-Apr	NK	A2	A	0	0	0.712199848	0.287800152	0	2018.4.6	F
D010	18-May	NK	A2	A	0	0	0.096034858	0.859172113	0.044793028	2018.5.19	L
D016	18-May	NK	A2	A	0.019952906	0	0.430536622	0.549510472	0	2018.5.20	L
D026	18-May	NK	A2	A	0	0.212365331	0.233038921	0.554595749	0	2018.5.22	L
D043	18-Jul	NK	A2	A	0.054206298	0.018284237	0.395512051	0.510942839	0.021054576	2018.7.20	L
D046	18-Jul	NK	A2	A	0.004439512	0.023168701	0.644006659	0.328385128	0	2018.7.21	F
D048	18-Jul	NK	A2	A	0	0	0.217634104	0.782365896	0	2018.7.22	L
D058	18-Jul	NK	A2	A	0	0	0.041416894	0.958583106	0	2018.7.24	L
D063	18-Aug	NK	A2	A	0	0.299874726	0.333933605	0.326495459	0.03969621	2018.8.4	L
D068	18-Aug	NK	A2	A	0	0.214666882	0.130902329	0.614489004	0.039941785	2018.8.5	L
D072	18-Aug	NK	A2	A	0	0.364382049	0.114520073	0.500433788	0.02066409	2018.8.6	L
D081	18-Aug	NK	A2	A	0	0.343935812	0.2935024	0.362561788	0	2018.8.8	L
E009	18-Jun	NK	A2	A	0	0.260373155	0.062517405	0.67710944	0	2018.6.17	L
E017	18-Jun	NK	A2	A	0.024022854	0	0.141799766	0.83417738	0	2018.6.18	L
E020	18-Jun	NK	A2	A	0	0.0602648	0.229645412	0.704002435	0.006087354	2018.6.19	L
E026	18-Jun	NK	A2	A	0	0	0.307367914	0.692632086	0	2018.6.21	L
E030	18-Jun	NK	A2	A	0	0	0.287649402	0.712350598	0	2018.6.20	L
N041	17-Nov	NK	A2	A	0	0	0.791559493	0.208440507	0	2017.11.14	F
Y006	18-Sep	NK	A2	A	0.030195009	0	0.951352485	0.018452506	0	2018.9.28	F
Y012	18-Sep	NK	A2	A	0.12346428	0	0.740330654	0.136205066	0	2018.9.30	F
Y014	18-Oct	NK	A2	A	0.096491228	0	0.903508772	0	0	2018.10.1	F
Y015	18-Oct	NK	A2	A	0.073155216	0	0.907601781	0.019243003	0	2018.10.2	F
Y021	18-Oct	NK	A2	A	0.162705667	0	0.795579192	0.04171514	0	2018.10.3	F
Y025	18-Oct	NK	A2	A	0.065357682	0	0.739942331	0.194699986	0	2018.10.4	F
Y030	18-Oct	NK	A2	A	0.209811707	0	0.790188293	0	0	2018.10.5	F
Y034	18-Oct	NK	A2	A	0.094415659	0	0.891767415	0.013816926	0	2018.10.6	F
Y036	18-Oct	NK	A2	A	0.016235413	0	0.951674277	0.032090309	0	2018.10.7	F
