CAZY	A010	A013	A020	A023	A028	A038	A052	A058	A063	A067	A069	A079	A083	A089	A094	A103	A110	A114	A124	B005	B010	B012	B023	B026	B030	B035	B039	B042	B047	B050	B053	B056	B058	B063	B071	B078	B084	B092	B098	B100	C005	C010	C012	C021	C027	C033	C045	C051	C056	C061	C065	C068	D010	D016	D026	D043	D046	D048	D058	D063	D068	D072	D081	E009	E017	E020	E026	E030	G009	G027	N041	X007	X011	X014	X018	X024	X027	X031	X034	X039	X044	X047	X049	X051	X052	X055	X057	X059	X065	X069	Y006	Y012	Y014	Y015	Y021	Y025	Y030	Y034	Y036
GH5	10543.53197	10132.86002	9332.747534	14921.3876	10756.04329	9247.598878	9625.693968	8646.595047	10784.4052	9557.872247	12245.28815	13998.60186	9507.033271	5696.731263	6276.927556	14885.42387	15014.76753	14372.00084	17985.2389	7204.751125	11116.30256	11184.0123	10560.99982	11424.1783	7597.808086	10754.19652	12196.85977	12300.58941	11555.60712	13950.54951	13002.13787	12731.27483	15490.3185	12885.58318	10588.86369	14983.95314	19328.62373	16255.56994	15853.61998	16749.74868	17535.79075	23121.69453	15069.28994	6699.015941	10120.39208	10201.2466	15432.13996	6156.529148	15390.36162	14661.87914	7206.53723	14526.04713	8393.554802	7523.274376	13366.02722	14403.03228	13838.30501	10809.20311	9148.578981	8396.993442	7165.33892	4310.881237	7621.453557	7367.277982	13439.9917	8049.019837	12137.81513	9857.809444	12714.3345	7721.322357	13892.46558	6845.438124	6213.494323	10854.05154	15649.07952	12845.75993	13934.54764	12694.39259	10105.2256	13538.54548	16207.53102	15865.98581	13196.51518	15861.51637	13711.86422	14460.06293	14804.29255	10774.04012	16076.58065	11290.19639	9393.031451	9906.311323	12523.38209	10162.15393	10758.03856	7973.931542	4538.71943	6788.440973	10161.23685
GH8	369.2711545	495.2594988	228.1851946	113.0758851	102.1927806	428.1281174	396.6910447	96.59808163	284.196322	382.3010271	316.8649592	599.7810391	93.11068316	66.83018433	129.7137062	222.2146525	107.4775646	99.2215191	100.6212937	44.09509168	61.94182493	24.5138707	61.6608924	40.82888891	110.8699484	129.1262805	71.99609042	144.7408309	101.0602892	400.8531132	185.9729953	228.0899014	148.0116349	223.4936184	69.39222202	51.14956111	20.38018874	123.8145449	116.7139704	84.93353482	75.71179251	54.85377832	597.5706464	101.2298122	229.9776974	216.7746228	40.29656462	29.56241989	35.40933543	115.1957147	49.20054099	23.79309703	197.7766873	150.7280206	206.404484	379.2182673	196.7538942	257.3356749	356.2384414	208.48038	185.5063977	115.2612192	286.8801496	120.1398962	113.4162439	96.52998745	179.4696018	234.3222958	27.05818909	26.8866602	158.9739799	35.84487181	47.52086237	88.24592955	56.29771929	29.54939972	61.79051268	97.78205328	38.90608953	35.00033816	66.83219943	53.57248859	268.5515784	48.94400014	91.16497049	163.7945649	64.4643585	104.2828455	41.5359695	53.43945041	158.3176382	77.78983948	65.56343314	50.7205018	95.19026208	114.0772626	69.43608656	79.30642183	28.11638589
GH9	1495.679456	1724.224345	805.1730914	495.188525	511.0533925	1102.159953	1513.568607	440.7667781	1159.934114	1626.628281	1586.387573	1535.949132	491.445791	530.740605	909.772462	1982.058869	891.231823	1230.634553	935.0564167	351.5526909	320.1007185	453.7481276	753.5010779	613.339429	1132.098028	879.5500714	809.9494654	1072.627656	602.8838824	1823.861549	1055.757757	1187.546274	1065.147714	791.5586123	826.1892145	900.629575	470.6175851	1339.328281	874.9669328	519.3173518	734.2515977	479.4889223	1787.364446	511.3889414	1121.574242	1120.558445	1039.866615	361.144643	838.7056582	742.1095436	283.6396864	789.996665	1045.539615	529.8192848	1024.820816	1342.795891	688.7375034	1099.151412	1406.027803	957.3427955	711.0730632	472.7849009	968.291916	688.3529311	606.4495233	428.1690693	940.7053683	1269.824952	582.1415981	641.1290359	1453.046363	591.385292	542.8104494	1080.93604	829.0317445	679.5189927	967.965857	995.3067794	721.534217	1621.189932	923.0053721	968.5574272	1296.187675	488.8762106	540.6966428	1585.245891	917.0304417	664.0466496	1112.316979	922.713859	740.1767164	667.2856793	684.1844642	605.4361691	662.2329678	429.1804549	308.2336934	279.1829973	453.3542125
GH44	54.58977267	93.53663451	10.9963902	19.9718704	72.10781352	13.92955005	14.16268797	16.89157376	62.57819984	36.82182705	6.480587484	56.74006071	26.57530922	13.79851955	24.92884372	20.17435131	7.151060176	1.583359318	0.191662752	17.56996211	30.23661293	61.90427164	7.620103085	3.359050549	43.59089305	44.10051662	16.48795264	35.10566455	27.72410908	75.60725006	42.63573792	43.48588669	35.18628786	35.64179655	8.752096055	17.76922942	19.67315611	20.27218333	29.83073147	37.84599919	10.82907067	9.463455916	230.0191518	13.06159503	128.4589461	18.03172884	79.16398453	3.196625451	23.10156518	22.49088115	0.539374521	38.22079163	53.00838974	13.55640326	74.86503912	25.26889816	35.32977259	30.75967149	46.28617302	20.7575071	31.90206176	8.822861948	57.66811876	9.709679851	19.47389316	17.5397222	29.79348244	16.52526821	14.70382524	17.8682348	176.7661959	176.4683499	76.50121279	72.81567382	2.998735772	127.0082915	109.9567644	78.66668105	51.90062371	92.88666419	117.3644777	31.69426956	72.20419765	11.42785055	24.31241345	157.3185762	54.29189094	164.7185616	18.00400311	8.743066124	22.21728604	13.53150666	67.72411908	104.1311881	94.74173399	25.22058802	18.67273645	31.465182	78.43658085
GH48	40.01058296	39.69161365	16.88590006	13.88132312	13.48849441	52.20392512	36.17219697	34.0510747	57.2263249	26.92652539	85.45404742	28.50142022	11.73053002	13.75951001	8.201045457	49.74876523	9.08511025	10.85592068	19.37811588	18.96822244	25.89780584	13.45153148	19.33895686	9.040940029	59.48393228	48.94879807	34.92929949	117.6008624	12.14283103	48.71169866	16.98093457	10.29770725	11.8759389	8.108576535	14.39388236	14.85106824	9.28949626	26.45657808	13.58152905	6.552957799	9.934820929	11.69497975	19.47814023	13.24458549	20.01216656	22.12439397	12.88868789	19.14972943	16.35238823	55.61942034	15.52267785	18.6412404	78.47518925	15.56380463	58.93825505	37.59681652	27.0982413	20.8280095	26.31109252	12.40537701	8.651582593	25.20804395	20.35419839	7.141496214	12.63409538	19.70654103	27.51149325	16.50183497	9.116032976	20.62566687	14.22729682	23.21641346	38.09729808	17.69437821	7.552329298	11.54218798	12.76145966	23.6553418	6.326620668	7.578505049	16.65415475	11.11425237	16.04356928	12.14783708	52.37394815	27.05778058	17.48018834	24.01907739	14.92038458	24.32326644	10.18895001	27.9454028	23.32473946	13.42514388	53.89344829	18.01517242	9.3875226	24.89893947	9.482515719
GH51	8242.950644	8060.36238	7964.313575	14283.81311	8668.439343	7474.42613	4034.46704	2442.00037	7292.319517	5991.672839	8535.696231	8587.879668	6299.68898	3483.070579	3129.08155	10797.80588	12668.88239	11558.72212	15859.77796	5525.61776	9064.329507	9609.06233	9236.086898	11757.52325	4632.575132	8983.264717	10191.1536	9208.979882	10470.62495	12367.42801	10692.47928	10577.15926	14718.98673	12275.88376	11440.73099	16204.17713	21664.14387	16355.08007	14256.65687	18211.0676	19330.75336	18527.3407	12773.85099	6233.252525	6733.663924	6067.971469	17762.26449	5941.892648	16059.71699	13601.07643	6306.126675	12676.13979	5430.439744	6595.203762	11919.65264	13655.12229	9707.745027	7103.144518	6391.822996	6033.436336	5011.903227	2158.226696	6073.364946	5444.835025	14226.25978	2907.997888	9917.171075	8854.635958	14675.66455	6001.096677	9934.965334	6454.955892	5678.191016	11042.52859	14819.69875	11215.82738	11935.6784	12041.07867	12461.41433	10214.67154	16542.98115	14878.85615	9395.216419	17094.34597	12906.55063	13357.55102	11933.37793	8397.407435	14958.49328	9069.835307	7015.294337	7365.2901	9628.732377	7228.589748	7643.955888	3657.63512	1802.106136	5145.176021	7808.758505
GH74	1311.356622	1029.747978	829.2541787	1179.913718	836.3129319	953.9607087	923.4218219	584.0792258	1114.488042	873.0057844	825.6371115	1564.938408	728.5433008	524.7052788	568.7931603	1266.860695	920.6595139	698.3421606	952.6039365	540.8917854	545.2389625	981.4761111	713.5072065	752.9019345	988.1467903	1050.296972	952.9030457	1210.582303	1277.70692	1535.891768	1157.359759	1444.990087	1047.366171	1249.781567	669.7069231	545.618991	1110.885351	992.5236118	961.5560042	1072.911597	1664.316192	2703.179689	1420.642777	430.1230771	762.1466652	583.4036967	1296.866056	339.3633832	1105.448128	974.3867778	214.1942553	823.4101802	857.0362549	487.545305	1137.773717	938.3825914	1013.808601	863.0558385	844.0848819	762.4112114	618.3629832	707.7027347	830.2009262	912.1917758	1333.433193	1148.087742	1346.216824	1246.839481	962.1941163	554.1981877	761.7640384	493.5068608	371.746966	669.3150974	1090.855362	921.0490087	874.9636574	979.8243144	609.4925435	274.2420047	1300.43952	772.0925783	768.6948004	1175.140185	1508.144049	1384.189044	1776.746466	1211.382089	1159.401621	948.4575228	546.3035171	837.2968388	871.1689412	768.2395373	839.1426483	597.8591602	343.6370186	488.3489995	910.2749258
GH124	9.018574464	6.118629162	1.972162997	2.517681636	1.250886037	16.11077366	14.08415503	52.54208835	77.3444533	7.790835603	127.1859299	7.575622407	1.344286956	4.416960156	2.637385551	18.53628499	2.093194294	2.224308272	0.471080695	0.404331389	0.734417819	0	0.277505803	0	0.368628321	1.904230718	3.083369709	12.95652693	1.879874214	36.16686522	6.25051813	8.364320577	7.93774184	14.35129028	6.228071736	9.357739337	8.090326377	13.44211763	7.087545967	6.130244706	4.293146229	1.226737433	3.173793804	15.34413932	26.51998952	25.16621884	0.107723364	0	0	0	0	0	0.395408172	2.3685789	1.848576898	0.248180973	0.473621718	4.619161483	0.346299245	0.454512205	0.672480631	22.49995642	3.043927198	0	0	2.636357914	4.951084255	3.642861334	0.535157564	3.88731562	4.205873147	3.269300523	2.764245139	6.115089262	3.805164794	0	0	0	0	0.144730259	0	0	0	0	12.63622772	0	0	4.725051233	0	0	8.700377586	11.03793904	5.189005591	7.007667259	24.80565251	4.857946914	3.226492597	7.596362884	2.727832682
GH10	3241.793139	3058.62743	3386.14248	7043.038387	4564.96131	3085.524347	1275.894191	798.3174982	3341.839353	1405.933254	3740.266023	2690.903363	2840.50079	1304.632745	1042.322971	4675.00496	5780.155657	5048.366083	7519.906572	2187.149479	4294.666942	3521.503863	4661.780945	6273.725341	1547.845264	4130.109055	4976.080454	4096.260374	3652.038999	4068.85869	4413.509192	4513.524554	6771.543465	4869.011416	3548.286467	7830.19719	10938.36514	6202.194049	5047.585416	9000.800762	11275.43826	9112.472795	4138.639144	2930.806432	2265.090504	2173.286085	9793.196728	2921.780107	7851.004071	6592.818014	3208.075204	6406.806421	2188.776528	3039.25572	5337.807157	6206.874823	4639.845454	3681.334604	2767.751506	2782.963537	2133.773361	756.4392953	2711.766381	2238.56007	6245.269223	1381.047097	4462.108013	4168.106422	7518.821325	2373.203598	4240.363886	2839.433374	1958.877588	5276.315739	6847.973845	4885.545792	5056.392656	5184.985869	5811.04951	1463.692162	7737.320871	6773.35315	4499.186673	8058.178467	6208.462496	6524.95105	5861.721673	3555.115962	6748.888074	3898.886198	3524.801927	3890.406213	4721.483536	3431.500643	3659.32319	1493.455395	650.0371059	2694.038913	3766.251196
GH16	4071.344895	4637.749753	4677.031506	6406.036675	4522.535315	2580.825715	2140.029443	2489.955367	3517.916498	2103.634932	3610.072548	3061.251058	3941.122099	3468.431859	3475.209794	5197.31037	4650.792523	4179.170325	4975.813433	6402.411161	8217.786842	8127.153466	6037.060353	9071.462394	5652.495784	5878.085017	6511.295249	6641.40288	6669.692447	4899.294602	5977.850318	5538.739199	4957.813626	4923.041805	7213.740403	4573.1066	7018.224627	5969.967314	5676.244758	5374.88569	7376.289115	9297.852311	4696.991319	6121.506475	4135.697585	5424.141649	6209.27383	3407.074784	8920.126811	7092.528648	2554.475837	5271.395177	3398.04327	3214.93245	4405.513076	7279.91719	5291.287709	5107.872607	4463.713279	4393.000186	3041.779087	2646.580708	4234.2308	3716.265489	6845.572356	3312.503376	6764.393094	5291.40263	8369.261559	8131.478758	5981.981596	7177.036398	6508.170634	7811.24446	9755.670034	7544.21111	7176.604411	8636.567835	6691.3641	4144.728632	10737.12659	7185.792146	5463.268427	9478.302122	9199.536022	6468.528187	9217.526316	6789.423957	7004.174578	7329.281237	2584.859943	2744.42072	4259.502104	3922.794202	3829.59319	2012.632458	2423.044058	2755.805206	6566.917752
