sample	group
A010	F
A013	F
A020	F
A023	F
A083	F
A103	F
A110	F
A114	F
A124	F
D046	F
N041	F
Y006	F
Y012	F
Y014	F
Y015	F
Y021	F
Y025	F
Y030	F
Y034	F
Y036	F
A028	L
A038	L
A052	L
A058	L
A063	L
A067	L
A069	L
A079	L
A089	L
A094	L
D010	L
D016	L
D026	L
D043	L
D048	L
D058	L
D063	L
D068	L
D072	L
D081	L
E009	L
E017	L
E020	L
E026	L
E030	L
B005	F
B010	F
B012	F
B026	F
B100	F
C027	F
C033	F
C056	F
C061	F
C065	F
C068	F
G009	F
G027	F
X007	F
X011	F
X014	F
X018	F
X024	F
X027	F
X031	F
X034	F
X039	F
X044	F
X047	F
X049	F
X051	F
X052	F
X057	F
B023	L
B030	L
B035	L
B039	L
B042	L
B047	L
B050	L
B053	L
B056	L
B058	L
B063	L
B071	L
B078	L
B084	L
B092	L
B098	L
C005	L
C010	L
C012	L
C021	L
C045	L
C051	L
X055	L
X059	L
X065	L
X069	L
