sample	animal	flower	fruit	leaf	others
B005	0	0	0.66164838	0.33835162	0
B006	0	0	0.697762322	0.302237678	0
B008	0.034170334	0	0.723013202	0.209422728	0.033393735
B009	0.016712214	0	0.63905823	0.344229557	0
B010	0.005847241	0	0.742234133	0.251918626	0
B012	0	0	0.867742472	0.132257528	0
B015	0	0	0.79089489	0.152421334	0.056683776
B021	0.15055789	0	0.602956093	0.246486017	0
B023	0.234079602	0	0.323631841	0.401492537	0.04079602
B025	0.21869257	0	0.338146495	0.377001838	0.066159097
B026	0.072934756	0	0.651451253	0.266931283	0.008682709
B028	0.048951049	0	0.396058487	0.52574698	0.029243484
B029	0.093394077	0	0.419387497	0.374841812	0.112376614
B030	0.071755118	0	0.214669052	0.71357583	0
B031	0.061737952	0	0.260112251	0.678149797	0
B035	0.037575425	0	0.028387274	0.934037301	0
B037	0.059490369	0	0.016753612	0.923756019	0
B039	0.023624705	0	0.047755653	0.838508269	0.090111374
B042	0.02747699	0	0	0.89063346	0.081889551
B041	0	0.013052209	0	0.986947791	0
B044	0	0	0.357206143	0.611193148	0.031600709
B047	0	0	0.420951466	0.531355118	0.047693417
B050	0	0	0	0.931791222	0.068208778
B051	0	0.012677842	0	0.935343006	0.051979152
B053	0	0.101794215	0	0.882582693	0.015623093
B056	0.009099393	0.080494634	0.033831078	0.876574895	0
B055	0.016920474	0.096277496	0.046023689	0.840778342	0
B058	0	0	0.05519351	0.94480649	0
B059	0.044865689	0.007048962	0.071251667	0.876833683	0
B063	0.007195663	0.152981764	0.064859537	0.74696895	0.027994086
B064	0	0.128842489	0.051702709	0.800563427	0.018891375
B066	0.10134724	0.486657975	0.026423294	0.385571491	0
B068	0	0.285575992	0.014520813	0.436350436	0.263552759
B070	0.083363494	0.202919532	0.224635058	0.489081916	0
B071	0	0.198899498	0.186761612	0.61433889	0
B077	0	0.038020519	0.288171394	0.673808087	0
B078	0.233866804	0.068921012	0.065952504	0.57188952	0.05937016
B084	0	0.288506013	0.069495837	0.618871415	0.023126735
B083	0.132816724	0.037123806	0.16994053	0.66011894	0
B090	0	0.212739817	0.304035535	0.483224648	0
B092	0.028333577	0.430845626	0.137578502	0.403242296	0
B097	0	0.189054306	0.33158518	0.419725935	0.05963458
B098	0	0.226292366	0.312107726	0.461599909	0
C003	0.074700399	0.155126498	0.303328895	0.466844208	0
C005	0.033855332	0.217897092	0.217897092	0.530350485	0
C008	0	0.601122508	0.280143217	0.118734275	0
C010	0	0.630557722	0.216458658	0.152983619	0
C011	0	0.461456483	0.245470693	0.293072824	0
C012	0	0.376188756	0.379559408	0.244251836	0
C015	0	0.615962777	0.063827249	0.320209974	0
C021	0	0	0.550023935	0.449976065	0
C024	0	0.091212912	0.606374307	0.296299315	0.006113466
C026	0.003940792	0.042099193	0.666474433	0.28171857	0.005767013
C028	0	0	0.836923827	0.163076173	0
C027	0	0	0.733148661	0.266851339	0
C033	0	0	0.842323059	0.157676941	0
C034	0	0	0.829808328	0.170191672	0
C039	0	0	0.450522362	0.549477638	0
C042	0.018407167	0	0.418210823	0.56338201	0
C045	0	0	0.252155878	0.747844122	0
C046	0	0	0.308264059	0.691735941	0
C050	0.126191812	0	0.190876799	0.682931389	0
C051	0.027378098	0.027977618	0.31205036	0.626698641	0.005895284
C056	0	0.0674946	0.796436285	0.136069114	0
C061	0	0	0.945366248	0.054633752	0
C060	0	0.175361923	0.739552035	0.085086042	0
C062	0	0.080378496	0.799001768	0.120619736	0
C063	0	0.03255814	0.96744186	0	0
C066	0	0	0.858691289	0.141308711	0
C068	0	0.190180236	0.670292107	0.139527657	0
G007	0.162107582	0	0.837892418	0	0
G008	0.109423435	0	0.890576565	0	0
G009	0.197815534	0	0.802184466	0	0
G010	0.059437987	0	0.741650728	0.198911284	0
G027	0.18017256	0	0.81982744	0	0
X005	0	0	0.940790672	0.059209328	0
X008	0.056147951	0	0.877374209	0.066477841	0
X009	0.1373835	0	0.842768381	0.019848119	0
X011	0.16663608	0	0.81354377	0.01982015	0
X014	0.170149774	0.022988506	0.762974573	0.043887147	0
X015	0.03753394	0	0.922376617	0.040089443	0
X017	0.047084753	0	0.952915247	0	0
X018	0.108852584	0.037993921	0.853153495	0	0
X022	0.227802226	0	0.772197774	0	0
X023	0.177709522	0	0.822290478	0	0
X027	0.113539898	0	0.740449915	0.146010187	0
X028	0.03875969	0	0.901504788	0.059735522	0
X030	0.019928826	0	0.799288256	0.180782918	0
X031	0.022309711	0.007874016	0.874278215	0.095538058	0
X034	0.091430914	0	0.801660517	0.106908569	0
X036	0.09896862	0	0.855387316	0.045644064	0
X038	0	0	1	0	0
X039	0.023058252	0	0.963592233	0.013349515	0
X040	0.027516996	0.043541599	0.817902234	0.111039171	0
X044	0	0	0.619782733	0.380217267	0
X046	0	0.220574606	0.611214087	0.168211307	0
X047	0	0	0.667132867	0.332867133	0
X048	0	0	0.695643921	0.304356079	0
X049	0	0	0.783597725	0.216402275	0
X050	0	0	0.651883487	0.348116513	0
X051	0	0	0.628932639	0.371067361	0
X052	0	0	0.779319042	0.220680958	0
X053	0	0	0.78251634	0.21748366	0
X055	0	0	0.539705882	0.460294118	0
X056	0	0	0.236660929	0.763339071	0
X057	0	0	1	0	0
X058	0	0	1	0	0
X059	0	0	0.423007246	0.576992754	0
X060	0	0	0.573388677	0.426611323	0
X062	0	0	0.70155902	0.266666667	0.031774313
X063	0	0.319982248	0.324531233	0.300898702	0.054587818
X065	0	0	0.526089703	0.473910297	0
X066	0	0	0.534428039	0.465571961	0
X068	0	0	0.715111643	0.284888357	0
X069	0	0	0.238775065	0.739973845	0.02125109
