sample	animal	flower	fruit	leaf	others
A009	0	0	0.908337717	0.091662283	0
A010	0	0	0.728626586	0.271373414	0
A012	0	0	0.932837802	0.067162198	0
A013	0.006158684	0	0.933630348	0.060210968	0
A014	0	0	0.94638404	0.05361596	0
A015	0	0	0.975075141	0.024924859	0
A016	0	0	0.950507614	0.049492386	0
A018	0	0	0.816560039	0.183439961	0
A017	0	0	1	0	0
A020	0	0	0.719683895	0.280316105	0
A021	0	0	0.755415664	0.244584336	0
A022	0	0	0.754309675	0.245690325	0
A023	0	0	0.649116392	0.347105424	0.003778184
A024	0	0	0.675725669	0.324274331	0
A027	0	0.032299193	0	0.967700807	0
A028	0	0	0	1	0
A029	0	0.032464146	0.011212516	0.956323338	0
A030	0	0.028937518	0	0.971062482	0
A035	0	0	0	1	0
A036	0	0	0	1	0
A037	0	0	0.008265213	0.991734787	0
A038	0	0	0	1	0
A040	0	0	0.049634634	0.950365366	0
A039	0.019202755	0	0	0.980797245	0
A042	0	0	0.025220681	0.974779319	0
A043	0	0	0.034478451	0.788132417	0.177389132
A044	0	0	0.069925398	0.839327469	0.090747133
A052	0	0	0.047633777	0.89669038	0.055675843
A053	0.010776156	0	0.055654072	0.933569772	0
A054	0.024586113	0	0	0.908697801	0.066716086
A057	0.019678665	0	0.0292689	0.883796239	0.067256196
A058	0	0.047024952	0.031806965	0.921168083	0
A060	0	0	0	1	0
A061	0	0	0	1	0
A063	0	0.063210849	0	0.936789151	0
A064	0.00942285	0	0	0.99057715	0
A065	0	0	0	1	0
A066	0	0.19791507	0.033113598	0.768971332	0
A067	0	0.124213012	0	0.875786988	0
A068	0	0.15	0	0.85	0
A069	0	0	0	0.92097134	0.07902866
A070	0	0	0.04541375	0.921019566	0.033566685
A071	0	0	0	0.920961861	0.079038139
A078	0.024966063	0.096913179	0.408841409	0.469279348	0
A079	0	0.021539471	0.287830746	0.690629784	0
A080	0	0.12737976	0.383078657	0.489541583	0
A083	0	0.010704616	0.661356338	0.327939047	0
A084	0	0.022328303	0.524946104	0.452725593	0
A088	0.011540941	0.10270793	0.40967118	0.476079948	0
A089	0	0.10247214	0.497630332	0.399897528	0
A090	0	0.114933894	0.606745793	0.278320312	0
A091	0	0.095978062	0.37324802	0.530773918	0
A092	0	0.106510417	0.415711806	0.477777778	0
A094	0	0.146345434	0.249470942	0.604183624	0
A096	0	0.138917262	0.602475515	0.258607222	0
A097	0.029276968	0	0.392092482	0.578630549	0
A098	0.034524482	0.070904251	0.317738163	0.576833105	0
A102	0	0.041412424	0.643793138	0.314794438	0
A103	0	0.037875358	0.64546552	0.316659122	0
A105	0	0	0.795604525	0.204395475	0
A107	0	0	0.866755454	0.133244546	0
A108	0.005155636	0	0.823870594	0.167042598	0.003931172
A110	0	0	0.764324135	0.235675865	0
A113	0	0	0.839622642	0.160377358	0
A116	0	0	0.846985583	0.153014417	0
A114	0.003342099	0	0.760793338	0.235864563	0
A118	0	0	0.771990045	0.228009955	0
A119	0.042579075	0	0.722222222	0.235198702	0
A120	0	0	0.737438692	0.262561308	0
A124	0	0	0.712199848	0.287800152	0
A123	0.006420797	0	0.73909639	0.254482813	0
A125	0.011113983	0	0.730615146	0.258270871	0
A126	0	0	0.734798877	0.265201123	0
D007	0	0	0.133978899	0.811967047	0.054054054
D010	0	0	0.096034858	0.859172113	0.044793028
D011	0	0	0.09037937	0.871311679	0.038308951
D012	0.015330189	0	0.248584906	0.689858491	0.046226415
D014	0	0	0.440659341	0.559340659	0
D016	0.019952906	0	0.430536622	0.549510472	0
D017	0.031568563	0	0.424860243	0.536007892	0.007563302
D018	0	0.154899373	0.044374794	0.800725833	0
D020	0	0.033098883	0.013653289	0.953247828	0
D022	0.007059156	0.142736129	0.082450939	0.767753777	0
D023	0	0.306075306	0.237006237	0.456918457	0
D024	0	0.27943761	0.187932044	0.532630346	0
